ids,title,url,summary,is_gnu_compatible,is_free
"GNUGPLv3,GNUGPL",GNU General Public License (GPL) version 3,https://www.gnu.org/licenses/gpl.html,"Free licenses, compatible with the GNU GPL",True,True
GPLv2,GNU General Public License (GPL) version 2,https://www.gnu.org/licenses/old-licenses/gpl-2.0.html,"Free licenses, compatible with the GNU GPL",True,True
"LGPLv3,LGPL",GNU Lesser General Public License (LGPL) version 3,https://www.gnu.org/licenses/lgpl.html,"Free licenses, compatible with the GNU GPL",True,True
LGPLv2.1,GNU Lesser General Public License (LGPL) version 2.1,https://www.gnu.org/licenses/old-licenses/lgpl-2.1.html,"Free licenses, compatible with the GNU GPL",True,True
"AGPL,AGPLv3.0",GNU Affero General Public License (AGPL) version 3,https://www.gnu.org/licenses/agpl.html,"Free licenses, compatible with the GNU GPL",True,True
GNUAllPermissive,GNU All-Permissive License,https://www.gnu.org/prep/maintain/html_node/License-Notices-for-Other-Files.html,"Free licenses, compatible with the GNU GPL",True,True
apache2,"Apache License, Version 2.0",https://directory.fsf.org/wiki/License:Apache2.0,"Free licenses, compatible with the GNU GPL",True,True
ArtisticLicense2,Artistic License 2.0,https://directory.fsf.org/wiki/License:ArtisticLicense2.0,"Free licenses, compatible with the GNU GPL",True,True
ClarifiedArtistic,Clarified Artistic License,https://directory.fsf.org/wiki/License:Clarified_Artistic_License_1.0,"Free licenses, compatible with the GNU GPL",True,True
"BerkleyDB,BerkeleyDB",Berkeley Database License,https://directory.fsf.org/wiki/License:Sleepycat,"Free licenses, compatible with the GNU GPL",True,True
boost,Boost Software License,https://directory.fsf.org/wiki/License:Boost1.0,"Free licenses, compatible with the GNU GPL",True,True
ModifiedBSD,Modified BSD license,https://directory.fsf.org/wiki/License:BSD_3Clause,"Free licenses, compatible with the GNU GPL",True,True
CeCILL,CeCILL version 2,https://directory.fsf.org/wiki/License:CeCILLv2,"Free licenses, compatible with the GNU GPL",True,True
clearbsd,The Clear BSD License,https://directory.fsf.org/wiki/License:ClearBSD,"Free licenses, compatible with the GNU GPL",True,True
CryptixGeneralLicense,Cryptix General License,https://directory.fsf.org/wiki/License:CryptixGL,"Free licenses, compatible with the GNU GPL",True,True
"eCos2.0,eCos20",eCos license version 2.0,https://directory.fsf.org/wiki/License:ECos2.0,"Free licenses, compatible with the GNU GPL",True,True
ECL2.0,Educational Community License 2.0,https://directory.fsf.org/wiki/License:ECL2.0,"Free licenses, compatible with the GNU GPL",True,True
Eiffel,"Eiffel Forum License, version 2",https://directory.fsf.org/wiki/License:EFLv2,"Free licenses, compatible with the GNU GPL",True,True
EUDataGrid,EU DataGrid Software License,https://directory.fsf.org/wiki/License:EUDataGrid,"Free licenses, compatible with the GNU GPL",True,True
Expat,Expat License,https://directory.fsf.org/wiki/License:Expat,"Free licenses, compatible with the GNU GPL",True,True
FreeBSD,FreeBSD license,https://directory.fsf.org/wiki?title=License:FreeBSD,"Free licenses, compatible with the GNU GPL",True,True
freetype,Freetype Project License,https://directory.fsf.org/wiki/License:FreeType,"Free licenses, compatible with the GNU GPL",True,True
HPND,Historical Permission Notice and Disclaimer,https://directory.fsf.org/wiki/License:Historical_Permission_Notice_and_Disclaimer,"Free licenses, compatible with the GNU GPL",True,True
iMatix,License of the iMatix Standard Function Library,https://directory.fsf.org/wiki?title=License:SFL,"Free licenses, compatible with the GNU GPL",True,True
imlib,License of imlib2,https://directory.fsf.org/wiki/License:Imlib2,"Free licenses, compatible with the GNU GPL",True,True
ijg,Independent JPEG Group License,https://directory.fsf.org/wiki?title=License:JPEG,"Free licenses, compatible with the GNU GPL",True,True
informal,Informal license,https://www.gnu.org,"Free licenses, compatible with the GNU GPL",True,True
intel,Intel Open Source License,https://directory.fsf.org/wiki/License:IntelACPI,"Free licenses, compatible with the GNU GPL",True,True
ISC,ISC License,https://directory.fsf.org/wiki/License:ISC,"Free licenses, compatible with the GNU GPL",True,True
MPL-2.0,Mozilla Public        License (MPL) version 2.0,https://directory.fsf.org/wiki/License:MPLv2.0,"Free licenses, compatible with the GNU GPL",True,True
NCSA,NCSA/University of Illinois Open Source License,https://directory.fsf.org/wiki/License:IllinoisNCSA,"Free licenses, compatible with the GNU GPL",True,True
"NetscapeJavascript,NetscapeJavaScript",License of Netscape JavaScript             (#NetscapeJavaScript),https://www.gnu.org,"Free licenses, compatible with the GNU GPL",True,True
newOpenLDAP,"OpenLDAP License, Version 2.7",https://directory.fsf.org/wiki/License:OpenLDAPv2.7,"Free licenses, compatible with the GNU GPL",True,True
PerlLicense,License of Perl 5 and below,https://www.gnu.org,"Free licenses, compatible with the GNU GPL",True,True
PublicDomain,Public Domain,https://directory.fsf.org/wiki/License:PublicDomain,"Free licenses, compatible with the GNU GPL",True,True
Python,"License of Python 2.0.1, 2.1.1, and newer versions",https://directory.fsf.org/wiki?title=License:Python2.0.1,"Free licenses, compatible with the GNU GPL",True,True
Python1.6a2,License of Python 1.6a2 and earlier versions,https://directory.fsf.org/wiki?title=License:Python1.6a2,"Free licenses, compatible with the GNU GPL",True,True
Ruby,License of Ruby,https://directory.fsf.org/wiki/License:Ruby,"Free licenses, compatible with the GNU GPL",True,True
SGIFreeB,"SGI Free Software License B, version 2.0",https://directory.fsf.org/wiki/License:SGIFreeBv2,"Free licenses, compatible with the GNU GPL",True,True
StandardMLofNJ,Standard ML of New Jersey Copyright License,https://directory.fsf.org/wiki/License:StandardMLofNJ,"Free licenses, compatible with the GNU GPL",True,True
Unicode,"Unicode, Inc. License Agreement for Data Files and Software",https://directory.fsf.org/wiki/License:Unicode,"Free licenses, compatible with the GNU GPL",True,True
UPL,Universal Permissive License (UPL),https://directory.fsf.org/wiki/License:Universal_Permissive_License,"Free licenses, compatible with the GNU GPL",True,True
Unlicense,The Unlicense,https://directory.fsf.org/wiki/License:TheUnlicense,"Free licenses, compatible with the GNU GPL",True,True
Vim,"License of Vim, Version 6.1 or later",https://directory.fsf.org/wiki/License:Vim7.2,"Free licenses, compatible with the GNU GPL",True,True
W3C,W3C Software Notice and License,https://directory.fsf.org/wiki/License:W3C_31Dec2002,"Free licenses, compatible with the GNU GPL",True,True
WebM,License of WebM,https://directory.fsf.org/wiki/License:WebM,"Free licenses, compatible with the GNU GPL",True,True
WTFPL,"WTFPL, Version 2",https://directory.fsf.org/wiki/License:WTFPL-2,"Free licenses, compatible with the GNU GPL",True,True
